Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Item Description,Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,13,13,0,0,0,"$19,292.00","$1,929.20"
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,10,10,0,0,0,"$9,860.00",$986.00
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,12,12,0,0,0,$12.00,$1.20
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$1,450.00",$145.00
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$1,742.00",$174.20
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$1,484.00",$148.40
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,26,26,0,0,0,"$25,636.00","$2,563.60"
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,2,2,0,0,0,"$2,926.00",$292.60
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$942.00,$94.20
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,59,59,0,0,0,"$104,312.00","$10,431.20"
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,12,12,0,0,0,"$20,364.00","$2,036.40"
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,8,8,0,0,0,"$11,568.00","$1,156.80"
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,11,11,0,0,0,"$10,571.00","$1,057.10"
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,5,5,0,0,0,"$7,130.00",$713.00
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,5,5,0,0,0,"$19,940.00","$1,994.00"
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,6,6,0,0,0,"$5,802.00",$580.20
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,4,4,0,0,0,"$4,900.00",$490.00
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,6,6,0,0,0,"$8,586.00",$858.60
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,2,2,0,0,0,"$4,036.00",$403.60
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,8,8,0,0,0,"$78,944.00","$7,894.40"
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,10,10,0,0,0,"$9,240.00",$924.00
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,11,11,0,0,0,"$3,509.00",$350.90
Grant Authority,2020,Army,Israel,CCA Matrix Status,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,$42.50,$4.25
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,8,8,0,0,0,"$118,559.84","$11,856.00"
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,10,10,0,0,0,"$14,210.00","$1,421.00"
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$1,257.00",$125.70
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,26,26,0,0,0,"$38,194.00","$3,819.40"
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$14,968.00","$1,496.80"
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$1,458.00",$145.80
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$1,257.00",$125.70
Grant Authority,2020,Army,Israel,CCA,Service Authorized to Supply EDA,6/1/20,4,4,0,0,0,"$22,248.00","$2,224.80"
Grant Authority,2020,Army,Israel,CCA DC/DC CONVERTER,Service Authorized to Supply EDA,6/1/20,17,17,0,0,0,"$1,412,377.00","$141,237.70"
Grant Authority,2020,Army,Israel,8 ohm resistor,Service Authorized to Supply EDA,6/1/20,20,20,0,0,0,"$1,000.00",$100.00
Grant Authority,2020,Army,Israel,3500 ohm resistor,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$2,150.00",$215.00
Grant Authority,2020,Army,Israel,1 ohm resistor,Service Authorized to Supply EDA,6/1/20,8,8,0,0,0,"$17,112.00","$1,711.20"
Grant Authority,2020,Army,Israel,misc resistor mounting brackets,Service Authorized to Supply EDA,6/1/20,5,5,0,0,0,"$17,210.00","$1,721.00"
Grant Authority,2020,Army,Israel,Trigger Generator,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$3,007.00",$300.70
Grant Authority,2020,Army,Israel,Trigger Generator,Service Authorized to Supply EDA,6/1/20,1,1,0,0,0,"$1,890.00",$189.00
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,REFRIDGERATION EQUIPMENT,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,"METAL BARS, SHEETS AND SHAPES",Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,COMMUNICATION EQUIPMENT,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,"CONTAINERS, PACKAGING, AND PACKING SUPPLIES",Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,HOUSEHOLD AND COMMERCIAL FURNISHINGS AND APPLIANCES,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,"PERSONAL CLOTHING, GEAR AND EQUIPMENT",Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,ORGANIZATIONAL EQUIPMENT,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,FACILITIES SUPPORT EQUIPMENT,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,TRAINING AIDS AND DEVICES,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,"ADP EQUIPMENT, SOFTWARE, SUPPLIES AND SUPPORT EQUIPMENT",Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,CAMOUFLAGE AND DECEPTION EQUIPMENT,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,VEHICULAR EQUIPMENT COMPONENTS,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,"ENGINES, TURBINES AND COMPONENTS",Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,METALWORKING MACHINERY,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,LAUNDRY AND CLEANING EQUIPMENT,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,RESCUE AND SAFETY EQUIPMENT,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,WATER PURIFICATION EQUIPMENT,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,"HOSE, PIPE, TUBE' LUBRICATION AND RAILING FITTINGS",Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,MAINTENANCE AND REPAIR SHOP EQUIPMENT,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,MISCELLANEOUS CONSTRUCTION MATERIAL,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,COMMUNICATION EQUIPMENT,Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
Grant Authority,2020,Defense Logistics Agency (DLA),Moldova,"WIRE AND CABLE, ELEC",Service Authorized to Supply EDA,6/4/20,N/A,N/A,N/A,N/A,N/A,"$266,594.15","$79,978.25"
FMS Sales,2020,Navy,Switzerland,SUU-63 PYLON,Service Authorized to Supply EDA,11/25/19,10,10,0,0,0,"$1,300,460.00","$780,523.60"
Grant Authority,2020,Defense Logistics Agency (DLA),Tunisia,"Truck Fire Fighting, P19A",Service Authorized to Supply EDA,5/11/20,N/A,N/A,N/A,N/A,N/A,"$487,685.43","$146,305.63"
Grant Authority,2020,Defense Logistics Agency (DLA),Tunisia,Trucks and Truck Tractors,Service Authorized to Supply EDA,5/11/20,N/A,N/A,N/A,N/A,N/A,"$33,535.00","$10,060.50"
Grant Authority,2020,Defense Logistics Agency (DLA),Tunisia,"Material Handling Equip, Nonself-Propel",Service Authorized to Supply EDA,5/11/20,1,1,0,0,0,"$20,502.00","$10,251.00"
Grant Authority,2020,Defense Logistics Agency (DLA),Tunisia,"Truck, Tank R11",Service Authorized to Supply EDA,5/11/20,N/A,N/A,N/A,N/A,N/A,"$94,124.96","$28,237.49"
Grant Authority,2019,Defense Logistics Agency (DLA),Argentina,Standard Cargo Truck 2.5 Ton - Without Winch,Service Authorized to Supply EDA,10/22/19,42,42,0,0,0,"$4,394,292.00","$878,858.40"
Grant Authority,2019,Army,Argentina,RIFLES 5.56MILL M16A4,Service Authorized to Supply EDA,6/6/19,2100,2100,0,0,0,"$1,572,900.00","$157,290.00"
Grant Authority,2019,Defense Logistics Agency (DLA),Argentina,Prefabricated Structures and Scaffolding,Service Authorized to Supply EDA,12/30/19,N/A,N/A,N/A,N/A,N/A,"$153,808.29","$46,142.49"
Grant Authority,2019,Defense Logistics Agency (DLA),Argentina,"Communication, Detection and Cherent Radiation Equipment",Service Authorized to Supply EDA,12/30/19,N/A,N/A,N/A,N/A,N/A,"$153,808.29","$46,142.49"
Grant Authority,2019,Defense Logistics Agency (DLA),Argentina,Electrical and Electronic Equipment Components,Service Authorized to Supply EDA,12/30/19,N/A,N/A,N/A,N/A,N/A,"$153,808.29","$46,142.49"
Grant Authority,2019,Defense Logistics Agency (DLA),Argentina,"Fiber Optics Materials, Components, Assemblies and Accessories",Service Authorized to Supply EDA,12/30/19,N/A,N/A,N/A,N/A,N/A,"$153,808.29","$46,142.49"
Grant Authority,2019,Office of the Secretary of Defense (OSD),Argentina,"Electric Wire, and Power and Distribution Equipment",Service Authorized to Supply EDA,12/30/19,N/A,N/A,N/A,N/A,N/A,"$153,808.29","$46,142.49"
Grant Authority,2019,Defense Logistics Agency (DLA),Argentina,"Alarm, Signal and Security Detection Systems",Service Authorized to Supply EDA,12/30/19,N/A,N/A,N/A,N/A,N/A,"$153,808.29","$46,142.49"
Grant Authority,2019,Defense Logistics Agency (DLA),Argentina,Automatic Data Processing Equipment,Service Authorized to Supply EDA,12/30/19,N/A,N/A,N/A,N/A,N/A,"$153,808.29","$46,142.49"
Grant Authority,2019,Defense Logistics Agency (DLA),Argentina,Camouflage and Deception Equipment,Service Authorized to Supply EDA,12/30/19,N/A,N/A,N/A,N/A,N/A,"$153,808.29","$46,142.49"
Grant Authority,2019,Defense Logistics Agency (DLA),Argentina,Miscellaneous Construction Equipment,Service Authorized to Supply EDA,12/30/19,N/A,N/A,N/A,N/A,N/A,"$153,808.29","$46,142.49"
Grant Authority,2019,Defense Logistics Agency (DLA),Argentina,"CARRIER, CARGO M973A1",Service Authorized to Supply EDA,12/16/19,2,2,0,0,0,"$251,938.00","$125,969.00"
Grant Authority,2019,Defense Logistics Agency (DLA),Argentina,"CARRIER, CARGO M973A1",Service Authorized to Supply EDA,12/16/19,6,6,0,0,0,"$755,814.00","$75,581.40"
Grant Authority,2019,Navy,Argentina,TC-12B AND UC-12B,Service Authorized to Supply EDA,5/11/20,12,12,0,0,0,"$47,424,000.00","$4,742,400.00"
Grant Authority,2019,Navy,Argentina,P-3C Orion Aircraft,Service Authorized to Supply EDA,8/28/19,6,6,0,0,0,"$178,980,000.00","$17,898,000.00"
Grant Authority,2019,Defense Logistics Agency (DLA),Argentina,Standard Cargo Truck 2.5 Ton - Without Winch,Service Authorized to Supply EDA,10/22/19,6,6,0,0,0,"$627,756.00","$188,326.80"
Grant Authority,2019,Defense Logistics Agency (DLA),Argentina,Standard Cargo Truck 2.5 Ton- Without Winch,Service Authorized to Supply EDA,10/22/19,2,2,0,0,0,"$209,252.00","$20,925.20"
Grant Authority,2019,Navy,Bahrain,FFG 49,Service Authorized to Supply EDA,12/3/19,1,1,0,0,0,"$161,002,000.00","$8,450,100.00"
Grant Authority,2019,Army,Bahrain,"Ctg., 5.56mm Ball, M855",EDA Accepted/LOA Implemented,9/26/19,56000,56000,0,0,0,"$22,400.00","$6,720.00"
Grant Authority,2019,Army,Bahrain,"Det Perc M1A2, 15 Sec Delay",EDA Accepted/LOA Implemented,9/26/19,3143,3143,0,0,0,"$61,759.95","$18,527.98"
Grant Authority,2019,Army,Bahrain,Det Perc M2A1 8 Sec Delay,EDA Accepted/LOA Implemented,9/26/19,4335,4335,0,0,0,"$100,008.45","$30,002.53"
Grant Authority,2019,Army,Bahrain,"Charge, Demolition, Block 8 lb TNT",EDA Accepted/LOA Implemented,9/26/19,500,500,0,0,0,"$1,050.00",$315.00
Grant Authority,2019,Army,Bahrain,M240B Machine Gun,Service Authorized to Supply EDA,5/3/19,300,300,0,0,0,"$2,378,100.00","$237,810.00"
Grant Authority,2019,Army,Bahrain,"Cartridge, 22 cal Ball LR",EDA Accepted/LOA Implemented,9/26/19,2581607,2581607,0,0,0,"$51,632.14","$15,489.64"
Grant Authority,2019,Army,Bahrain,"Cartridge, 7.62mm Spec Ball",EDA Accepted/LOA Implemented,9/26/19,22976,22976,0,0,0,"$15,164.16","$4,549.25"
Grant Authority,2019,Army,Bahrain,"Cartridge, 7.62mm Match M852",EDA Accepted/LOA Implemented,9/26/19,100000,100000,0,0,0,"$66,000.00","$19,800.00"
Grant Authority,2019,Army,Bahrain,"Cartridge, .38 CAL Spec Ball",EDA Accepted/LOA Implemented,9/26/19,5900062,5900062,0,0,0,"$2,065,021.70","$619,506.51"
Grant Authority,2019,Army,Bahrain,"Cartridge, 20mm TP-T M220 LKD",EDA Accepted/LOA Implemented,9/26/19,1300,1300,0,0,0,"$5,746.00","$1,723.80"
Grant Authority,2019,Army,Bahrain,"Cartridge, 20mm, HEI, M56A3, Linked-Paced with Cartridge, 20mm TP-T, M220 (7 to 1)",EDA Accepted/LOA Implemented,9/26/19,25100,25100,0,0,0,"$169,927.00","$50,978.10"
Grant Authority,2019,Army,Bahrain,"Cartridge, .50 cal TR M17 SNGL RD",EDA Accepted/LOA Implemented,9/26/19,15575,15575,0,0,0,"$5,607.00","$1,682.10"
Grant Authority,2019,Army,Bahrain,"Cartridge, .50 cal, 4 API, 1 API TR, LKD, M8",EDA Accepted/LOA Implemented,9/26/19,1000,1000,0,0,0,$420.00,$126.00
Grant Authority,2019,Army,Bahrain,"Cartridge, .50 cal, Short Range, Linked,4 Ball/1 Tracer, Practice",EDA Accepted/LOA Implemented,9/26/19,1756419,1756419,0,0,0,"$7,166,189.52","$2,149,856.86"
Grant Authority,2019,Army,Bahrain,"Ctg., 20mm HEI M56A3",EDA Accepted/LOA Implemented,9/26/19,6000,6000,0,0,0,"$33,000.00","$9,900.00"
Grant Authority,2019,Army,Bahrain,"Ctg., 20mm M55",EDA Accepted/LOA Implemented,12/10/18,2500,2500,0,0,0,"$4,525.00","$1,357.50"
Grant Authority,2019,Army,Bahrain,"Cartridge, 20mm HEI, M56A2",EDA Accepted/LOA Implemented,9/26/19,163099,163099,0,0,0,"$797,554.11","$239,266.23"
Grant Authority,2019,Army,Bahrain,"Cartridge, 20mm HEI,  M56A3",EDA Accepted/LOA Implemented,9/26/19,78811,78811,0,0,0,"$265,593.07","$79,677.92"
Grant Authority,2019,Army,Bahrain,"Cartridge, 20mm TP ",EDA Accepted/LOA Implemented,9/26/19,2734,2734,0,0,0,"$8,393.38","$2,518.01"
Grant Authority,2019,Army,Bahrain,"Demolition Kit, Blasting, Fight Position Excavator FAB M300 Manpacked",EDA Accepted/LOA Implemented,9/26/19,4382,4382,0,0,0,"$1,752,800.00","$525,840.00"
Grant Authority,2019,Army,Bahrain,"Ctg., 40mm Red Smoke M713",EDA Accepted/LOA Implemented,9/26/19,2634,2634,0,0,0,"$429,447.36","$128,834.21"
Grant Authority,2019,Army,Bahrain,"Cartridge, 40mm Prac M781",EDA Accepted/LOA Implemented,9/26/19,3488056,3488056,0,0,0,"$17,021,713.28","$5,106,513.98"
Grant Authority,2019,Army,Bahrain,"Cartridge, 60mm HE M888 w/M935 Fuze",EDA Accepted/LOA Implemented,9/26/19,113,113,0,0,0,"$43,979.60","$13,193.88"
Grant Authority,2019,Army,Bahrain,"Cartridge, 50mm M766 Prac",EDA Accepted/LOA Implemented,9/26/19,2750,2750,0,0,0,"$368,500.00","$110,550.00"
Grant Authority,2019,Army,Bahrain,"Ctg., 81mm HE M889",EDA Accepted/LOA Implemented,9/26/19,6252,6252,0,0,0,"$464,898.72","$139,469.62"
Grant Authority,2019,Army,Bahrain,"Charge Propelling 155mm with Bag, XM119 or XM119E4, F/Howitzer M109",EDA Accepted/LOA Implemented,9/26/19,93,93,0,0,0,"$5,394.00","$1,618.20"
Grant Authority,2019,Army,Bahrain,Charge Prop 155mm M3A1,EDA Accepted/LOA Implemented,9/26/19,2322,2322,0,0,0,"$89,373.78","$26,812.13"
Grant Authority,2019,Army,Bahrain,Charge Prop 155mm White Bag M4A2,EDA Accepted/LOA Implemented,9/26/19,1861,1861,0,0,0,"$207,371.23","$62,211.37"
Grant Authority,2019,Army,Bahrain,"Projectile, 155mm HE M107",EDA Accepted/LOA Implemented,9/26/19,115,115,0,0,0,"$71,820.95","$21,546.29"
Grant Authority,2019,Army,Bahrain,"Flash Reducer, M2",EDA Accepted/LOA Implemented,9/26/19,434005,434005,0,0,0,"$169,261.95","$50,778.59"
Grant Authority,2019,Army,Bahrain,Projectile HE RAP M650 8 Inch,EDA Accepted/LOA Implemented,9/26/19,474,474,0,0,0,"$490,116.00","$147,034.80"
